store_key,storename,address,telno,region_name,provice_name,city_muni_name,latitude,longitude
"2","B.F. HOMES","President Ave., nr. cor. Elizalde St., B.F. Homes,","(02) 8425445","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF PARANAQUE","14.4489571","121.0294153"
"3","LIBERTAD","Libertad St. cor. F.B Harrison St.,","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","PASAY CITY","14.5462733","120.9939707"
"4","NAGTAHAN","J.P. Laurel Cor. Nagtahan, Sta. Mesa, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","SAMPALOC","14.6004106","120.9993352"
"5","U.N. AVENUE","United Nation Ave. nr. cor. Taft Ave., Ermita, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","PACO","14.5827831","120.9860851"
"7","QUIAPO","465 Quezon Blvd., Quiapo, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","QUIAPO","14.5992119","120.9840157"
"8","ADRIATICO","Adriatico St. cor. P. Faura St., Ermita, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","ERMITA","14.5775826","120.9818153"
"10","MUNOZ","Roosevelt Ave. nr. cor. EDSA, Katipunan I, Q.C","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6571102","121.0192205"
"12","ROCES","Quezon Ave. Cor., Roces Ave. Paligsahan Quezon City","(02) 4162866","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6330494","121.0201223"
"17","BUENDIA 1","Gil Puyat Ave near corner Taft Ave Zone 7 Brgy 49","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","PASAY CITY","14.553974","120.9978315"
"24","PACO 1","Pedro Gil St. cor. Paz St., Paco, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","PACO","14.5786821","120.9953571"
"30","BURGOS","Libertad St. cor. P. Burgos St., Pasay City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","PASAY CITY","14.5480973","121.0005234"
"30","BURGOS","Libertad St. cor. P. Burgos St., Pasay City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","PASAY CITY","14.5480973","121.0005234"
"31","BARANGKA","Boni Ave. cor. Barranca Drive, Mandaluyong City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF MANDALUYONG","14.575622","121.0411184"
"32","MAYPAJO","J.P. Rizal St. cor. Mabini St., Brgy 30 Zone 3 Maypajo Caloocan City","","NATIONAL CAPITAL REGION (NCR)","NCR, THIRD DISTRICT","CITY OF CALOOCAN","14.6380232","120.9755134"
"33","DAPITAN","A. Maceda St. cor. Dapitan St., Sampaloc, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","SAMPALOC","14.6177029","120.9950503"
"35","PASIG CHURCH","Caruncho Ave. cor Sixto Ave San Nicolas Pasig City","(02) 6412137","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF PASIG","14.5610087","121.0766886"
"36","JRC-SHAW","G/F Tanko Bldg. Kalentong St., Mandaluyong City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF MANDALUYONG","14.5934557","121.0273058"
"37","NOVALICHES 1","Gen Luis St., cor. Austria St., Nova, Proper Novaliches, Quezon City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.7219417","121.0388908"
"39","MCU","EDSA cor. Asuncion St., Caloocan City","(02) 3636279","NATIONAL CAPITAL REGION (NCR)","NCR, THIRD DISTRICT","CITY OF CALOOCAN","14.6575001","120.9875172"
"41","MARULAS","52 Mc Arthur Highway cor. Pio Del Pilar St.","(02) 2916485","NATIONAL CAPITAL REGION (NCR)","NCR, THIRD DISTRICT","CITY OF VALENZUELA","14.6737412","120.9818948"
"43","MALIBAY","EDSA cor. C. Jose St., Malibay, Pasay City","(02) 9450786","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","PASAY CITY","14.5385357","121.0107403"
"44","BACOOR","Talaba Rd. cor. A.  Highway, Bacoor, Cavite","","REGION IV-A (CALABARZON)","CAVITE","CITY OF BACOOR","14.4621549","120.9627432"
"45","GAGALANGIN","Juan Luna cor. Pampanga St., Gagalangin, Tondo, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","TONDO I/II","14.6289907","120.9740712"
"46","PANDACAN","Jesus cor. Labores St., Pandacan, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","PANDACAN","14.592778","121.0039742"
"47","SINGALONG","Singalong St., cor. San Andres Bukid, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","MALATE","14.5714529","120.9948225"
"54","MUNTINLUPA 1","Rizal Ave. nr. Cor. National Highway, Muntinlupa City","(02) 6811725","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MUNTINLUPA","14.389051","121.0447849"
"56","EVANGELISTA","Evangelista St. Cor., Pio Del Pilar, Makati City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5509429","121.01026"
"57","COMMONWEALTH","Tandang Sora Ave. cor. Commonwealth Ave., Quezon City","","","","","14.6642921","121.0679731"
"59","REVILLA","C Revilla St. cor EDSA Pasay City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","PASAY CITY","14.5373347","121.0015097"
